cohort,feature_set,fold,feature,itemid,representation,importance
cohort_C91-B25,cont,0,cont_50803,50803,cont,0.00013201320132013187
cohort_C91-B25,cont,0,cont_50804,50804,cont,0.0047499196634948355
cohort_C91-B25,cont,0,cont_50805,50805,cont,0.0
cohort_C91-B25,cont,0,cont_50806,50806,cont,0.0001731601731601732
cohort_C91-B25,cont,0,cont_50808,50808,cont,0.002092467928133926
cohort_C91-B25,cont,0,cont_50809,50809,cont,0.000126984126984127
cohort_C91-B25,cont,0,cont_50811,50811,cont,0.00032680529001724145
cohort_C91-B25,cont,0,cont_50813,50813,cont,0.004555081388202204
cohort_C91-B25,cont,0,cont_50814,50814,cont,0.0
cohort_C91-B25,cont,0,cont_50818,50818,cont,0.0031500394466022073
cohort_C91-B25,cont,0,cont_50820,50820,cont,0.0085594946604975
cohort_C91-B25,cont,0,cont_50821,50821,cont,0.002366745732266465
cohort_C91-B25,cont,0,cont_50822,50822,cont,0.002001407875964086
cohort_C91-B25,cont,0,cont_50824,50824,cont,0.001053158915610097
cohort_C91-B25,cont,0,cont_50853,50853,cont,0.00016666666666666666
cohort_C91-B25,cont,0,cont_50856,50856,cont,0.0
cohort_C91-B25,cont,0,cont_50861,50861,cont,0.01970956345787356
cohort_C91-B25,cont,0,cont_50862,50862,cont,0.011092443682998589
cohort_C91-B25,cont,0,cont_50863,50863,cont,0.02048712698029655
cohort_C91-B25,cont,0,cont_50866,50866,cont,0.00028741496598639455
cohort_C91-B25,cont,0,cont_50867,50867,cont,0.0007634639996973918
cohort_C91-B25,cont,0,cont_50868,50868,cont,0.01693118779802544
cohort_C91-B25,cont,0,cont_50877,50877,cont,0.0
cohort_C91-B25,cont,0,cont_50878,50878,cont,0.012574696142131123
cohort_C91-B25,cont,0,cont_50881,50881,cont,0.0005296212379858675
cohort_C91-B25,cont,0,cont_50882,50882,cont,0.023771284401256868
cohort_C91-B25,cont,0,cont_50883,50883,cont,0.0019990072739812913
cohort_C91-B25,cont,0,cont_50885,50885,cont,0.019184128949432278
cohort_C91-B25,cont,0,cont_50889,50889,cont,0.0014827552503820255
cohort_C91-B25,cont,0,cont_50890,50890,cont,0.0
cohort_C91-B25,cont,0,cont_50891,50891,cont,0.0
cohort_C91-B25,cont,0,cont_50893,50893,cont,0.016775927777250257
cohort_C91-B25,cont,0,cont_50894,50894,cont,0.0
cohort_C91-B25,cont,0,cont_50895,50895,cont,0.0
cohort_C91-B25,cont,0,cont_50896,50896,cont,0.0
cohort_C91-B25,cont,0,cont_50899,50899,cont,0.0
cohort_C91-B25,cont,0,cont_50902,50902,cont,0.016631721411350154
cohort_C91-B25,cont,0,cont_50904,50904,cont,0.0003796433428115644
cohort_C91-B25,cont,0,cont_50905,50905,cont,0.0
cohort_C91-B25,cont,0,cont_50906,50906,cont,0.0
cohort_C91-B25,cont,0,cont_50907,50907,cont,0.0012265155267447096
cohort_C91-B25,cont,0,cont_50908,50908,cont,0.0
cohort_C91-B25,cont,0,cont_50910,50910,cont,0.0
cohort_C91-B25,cont,0,cont_50911,50911,cont,0.0025432104616499936
cohort_C91-B25,cont,0,cont_50912,50912,cont,0.05343593209930432
cohort_C91-B25,cont,0,cont_50914,50914,cont,0.0
cohort_C91-B25,cont,0,cont_50915,50915,cont,0.0
cohort_C91-B25,cont,0,cont_50916,50916,cont,0.0
cohort_C91-B25,cont,0,cont_50917,50917,cont,0.0
cohort_C91-B25,cont,0,cont_50924,50924,cont,0.0045625761236819376
cohort_C91-B25,cont,0,cont_50925,50925,cont,0.00038360051071073916
cohort_C91-B25,cont,0,cont_50927,50927,cont,0.0015676944472926165
cohort_C91-B25,cont,0,cont_50930,50930,cont,0.0037111458128958707
cohort_C91-B25,cont,0,cont_50931,50931,cont,0.0
cohort_C91-B25,cont,0,cont_50935,50935,cont,0.003765539532741478
cohort_C91-B25,cont,0,cont_50945,50945,cont,0.0
cohort_C91-B25,cont,0,cont_50949,50949,cont,0.0008346593590862365
cohort_C91-B25,cont,0,cont_50950,50950,cont,0.002601294773943234
cohort_C91-B25,cont,0,cont_50951,50951,cont,0.001745825434550348
cohort_C91-B25,cont,0,cont_50952,50952,cont,0.0026154162022832077
cohort_C91-B25,cont,0,cont_50953,50953,cont,0.00327669497729911
cohort_C91-B25,cont,0,cont_50954,50954,cont,0.014477569176463895
cohort_C91-B25,cont,0,cont_50956,50956,cont,0.002952611171940017
cohort_C91-B25,cont,0,cont_50957,50957,cont,0.0
cohort_C91-B25,cont,0,cont_50960,50960,cont,0.022446139192977818
cohort_C91-B25,cont,0,cont_50964,50964,cont,0.0003992786235680287
cohort_C91-B25,cont,0,cont_50965,50965,cont,0.000651834338525703
cohort_C91-B25,cont,0,cont_50966,50966,cont,0.0
cohort_C91-B25,cont,0,cont_50967,50967,cont,0.0
cohort_C91-B25,cont,0,cont_50968,50968,cont,0.0
cohort_C91-B25,cont,0,cont_50969,50969,cont,0.0
cohort_C91-B25,cont,0,cont_50970,50970,cont,0.017566411660345796
cohort_C91-B25,cont,0,cont_50971,50971,cont,0.03418174844035916
cohort_C91-B25,cont,0,cont_50976,50976,cont,0.0028342088147142587
cohort_C91-B25,cont,0,cont_50978,50978,cont,0.0
cohort_C91-B25,cont,0,cont_50981,50981,cont,0.0
cohort_C91-B25,cont,0,cont_50982,50982,cont,0.0
cohort_C91-B25,cont,0,cont_50983,50983,cont,0.018808184022145527
cohort_C91-B25,cont,0,cont_50986,50986,cont,0.0
cohort_C91-B25,cont,0,cont_50988,50988,cont,0.0
cohort_C91-B25,cont,0,cont_50989,50989,cont,0.0
cohort_C91-B25,cont,0,cont_50990,50990,cont,0.0
cohort_C91-B25,cont,0,cont_50992,50992,cont,0.0
cohort_C91-B25,cont,0,cont_50993,50993,cont,0.004257273248250881
cohort_C91-B25,cont,0,cont_50994,50994,cont,0.00037081265949724207
cohort_C91-B25,cont,0,cont_50995,50995,cont,0.00014930875576036845
cohort_C91-B25,cont,0,cont_50997,50997,cont,0.0
cohort_C91-B25,cont,0,cont_50998,50998,cont,0.0017939741433566237
cohort_C91-B25,cont,0,cont_51000,51000,cont,0.0020984799374600955
cohort_C91-B25,cont,0,cont_51001,51001,cont,0.0002633116883116885
cohort_C91-B25,cont,0,cont_51005,51005,cont,0.0
cohort_C91-B25,cont,0,cont_51006,51006,cont,0.040251004426185136
cohort_C91-B25,cont,0,cont_51007,51007,cont,0.018436772063804164
cohort_C91-B25,cont,0,cont_51008,51008,cont,0.0
cohort_C91-B25,cont,0,cont_51009,51009,cont,0.0034136764404100735
cohort_C91-B25,cont,0,cont_51010,51010,cont,0.0019738083575251497
cohort_C91-B25,cont,0,cont_51070,51070,cont,0.0
cohort_C91-B25,cont,0,cont_51080,51080,cont,0.0
cohort_C91-B25,cont,0,cont_51099,51099,cont,0.00016958350291683614
cohort_C91-B25,cont,0,cont_51110,51110,cont,0.0
cohort_C91-B25,cont,0,cont_51111,51111,cont,0.0
cohort_C91-B25,cont,0,cont_51114,51114,cont,0.0
cohort_C91-B25,cont,0,cont_51116,51116,cont,0.00016741978021978033
cohort_C91-B25,cont,0,cont_51117,51117,cont,0.00013201320132013203
cohort_C91-B25,cont,0,cont_51118,51118,cont,0.0
cohort_C91-B25,cont,0,cont_51120,51120,cont,0.000636146208052147
cohort_C91-B25,cont,0,cont_51124,51124,cont,0.0
cohort_C91-B25,cont,0,cont_51125,51125,cont,0.00014836991926775215
cohort_C91-B25,cont,0,cont_51127,51127,cont,0.00011961560203504794
cohort_C91-B25,cont,0,cont_51130,51130,cont,0.0003306122448979593
cohort_C91-B25,cont,0,cont_51131,51131,cont,7.256235827664399e-05
cohort_C91-B25,cont,0,cont_51132,51132,cont,0.001015265260135399
cohort_C91-B25,cont,0,cont_51133,51133,cont,0.01730676650797919
cohort_C91-B25,cont,0,cont_51138,51138,cont,0.0
cohort_C91-B25,cont,0,cont_51139,51139,cont,0.0
cohort_C91-B25,cont,0,cont_51140,51140,cont,0.00042329125455791626
cohort_C91-B25,cont,0,cont_51143,51143,cont,0.010450618731572771
cohort_C91-B25,cont,0,cont_51144,51144,cont,0.008709546475929978
cohort_C91-B25,cont,0,cont_51146,51146,cont,0.01487743281014218
cohort_C91-B25,cont,0,cont_51148,51148,cont,0.00200485070195919
cohort_C91-B25,cont,0,cont_51149,51149,cont,0.0
cohort_C91-B25,cont,0,cont_51181,51181,cont,0.0009314807646756193
cohort_C91-B25,cont,0,cont_51196,51196,cont,0.0
cohort_C91-B25,cont,0,cont_51199,51199,cont,0.0
cohort_C91-B25,cont,0,cont_51200,51200,cont,0.010467197018356241
cohort_C91-B25,cont,0,cont_51202,51202,cont,0.0
cohort_C91-B25,cont,0,cont_51203,51203,cont,0.0
cohort_C91-B25,cont,0,cont_51204,51204,cont,0.0
cohort_C91-B25,cont,0,cont_51205,51205,cont,0.0
cohort_C91-B25,cont,0,cont_51206,51206,cont,0.0
cohort_C91-B25,cont,0,cont_51207,51207,cont,0.0
cohort_C91-B25,cont,0,cont_51208,51208,cont,0.0
cohort_C91-B25,cont,0,cont_51209,51209,cont,0.0
cohort_C91-B25,cont,0,cont_51214,51214,cont,0.005662159261946014
cohort_C91-B25,cont,0,cont_51218,51218,cont,0.0
cohort_C91-B25,cont,0,cont_51221,51221,cont,0.020853094543017054
cohort_C91-B25,cont,0,cont_51222,51222,cont,0.021823738280509496
cohort_C91-B25,cont,0,cont_51223,51223,cont,0.0
cohort_C91-B25,cont,0,cont_51224,51224,cont,0.0
cohort_C91-B25,cont,0,cont_51225,51225,cont,0.0
cohort_C91-B25,cont,0,cont_51227,51227,cont,0.0
cohort_C91-B25,cont,0,cont_51228,51228,cont,0.0
cohort_C91-B25,cont,0,cont_51229,51229,cont,0.0
cohort_C91-B25,cont,0,cont_51232,51232,cont,0.0
cohort_C91-B25,cont,0,cont_51237,51237,cont,0.02168015800945464
cohort_C91-B25,cont,0,cont_51241,51241,cont,0.0
cohort_C91-B25,cont,0,cont_51244,51244,cont,0.01485389808203076
cohort_C91-B25,cont,0,cont_51245,51245,cont,0.001159070115549902
