cohort,feature_set,fold,feature,itemid,representation,importance
cohort_K04-N17,cont,0,cont_50803,50803,cont,0.0002562781076324791
cohort_K04-N17,cont,0,cont_50804,50804,cont,0.0025772736189267945
cohort_K04-N17,cont,0,cont_50805,50805,cont,0.0
cohort_K04-N17,cont,0,cont_50806,50806,cont,0.0012668304422849873
cohort_K04-N17,cont,0,cont_50808,50808,cont,0.0036970693394628444
cohort_K04-N17,cont,0,cont_50809,50809,cont,0.0010492528146232101
cohort_K04-N17,cont,0,cont_50811,50811,cont,0.0011876273114151945
cohort_K04-N17,cont,0,cont_50813,50813,cont,0.004685063514227335
cohort_K04-N17,cont,0,cont_50814,50814,cont,0.0
cohort_K04-N17,cont,0,cont_50818,50818,cont,0.004752281206376187
cohort_K04-N17,cont,0,cont_50820,50820,cont,0.006209329313063689
cohort_K04-N17,cont,0,cont_50821,50821,cont,0.003139690749914067
cohort_K04-N17,cont,0,cont_50822,50822,cont,0.0021099411521444387
cohort_K04-N17,cont,0,cont_50824,50824,cont,0.0009158387243338041
cohort_K04-N17,cont,0,cont_50853,50853,cont,0.0015216488940355641
cohort_K04-N17,cont,0,cont_50856,50856,cont,0.0
cohort_K04-N17,cont,0,cont_50861,50861,cont,0.01180638520013474
cohort_K04-N17,cont,0,cont_50862,50862,cont,0.013553113287657065
cohort_K04-N17,cont,0,cont_50863,50863,cont,0.01661274653179991
cohort_K04-N17,cont,0,cont_50866,50866,cont,0.0
cohort_K04-N17,cont,0,cont_50867,50867,cont,0.0003234288170458386
cohort_K04-N17,cont,0,cont_50868,50868,cont,0.016059997748246447
cohort_K04-N17,cont,0,cont_50877,50877,cont,0.0
cohort_K04-N17,cont,0,cont_50878,50878,cont,0.011373372378031354
cohort_K04-N17,cont,0,cont_50881,50881,cont,6.2967335694607905e-06
cohort_K04-N17,cont,0,cont_50882,50882,cont,0.018945084178650103
cohort_K04-N17,cont,0,cont_50883,50883,cont,0.0012995286255110545
cohort_K04-N17,cont,0,cont_50885,50885,cont,0.014551407491097143
cohort_K04-N17,cont,0,cont_50889,50889,cont,0.004847999496503594
cohort_K04-N17,cont,0,cont_50890,50890,cont,0.00016363636363636369
cohort_K04-N17,cont,0,cont_50891,50891,cont,0.00027429896689858737
cohort_K04-N17,cont,0,cont_50893,50893,cont,0.016792237062563605
cohort_K04-N17,cont,0,cont_50894,50894,cont,0.0
cohort_K04-N17,cont,0,cont_50895,50895,cont,0.0
cohort_K04-N17,cont,0,cont_50896,50896,cont,0.0
cohort_K04-N17,cont,0,cont_50899,50899,cont,0.0
cohort_K04-N17,cont,0,cont_50902,50902,cont,0.012453162240440912
cohort_K04-N17,cont,0,cont_50904,50904,cont,0.0011175343974590235
cohort_K04-N17,cont,0,cont_50905,50905,cont,0.0
cohort_K04-N17,cont,0,cont_50906,50906,cont,0.0
